loss,accuracy,recall,precision,f1-score
0.7903249,0.000754717,0.24311927,0.2815405,0.26092309739468444
6.871421,0.48830187,0.14793578,0.109322034,0.12573098976933242
3.544245,0.7605032,0.23394495,0.45033112,0.30792451250087216
3.4000914,0.76981133,0.08256881,0.45859873,0.1399416903721554
4.105037,0.6727044,0.4071101,0.38336933,0.39488320305417707
6.840318,0.5023899,0.6892202,0.2833569,0.4016037410336991
4.65316,0.64477986,0.35091743,0.31875,0.3340611309827514
3.7226799,0.71295595,0.2511468,0.40405905,0.30975955420080215
3.6800756,0.70867926,0.27637616,0.4112628,0.3305898465464859
4.378339,0.64301884,0.39793578,0.35264227,0.3739224081808052
4.76546,0.5657862,0.4678899,0.33036438,0.38728050956415505
4.136383,0.62062895,0.39220184,0.37012988,0.3808463349692332
3.877594,0.6327044,0.40940368,0.3979933,0.40361784661317834
3.4300292,0.65786165,0.38417432,0.4595336,0.4184884454478754
3.5385983,0.6903145,0.36811927,0.44214877,0.40175219835340875
3.4773335,0.6978616,0.4357798,0.46625766,0.4505038312744293
3.3317454,0.66339624,0.51720184,0.4802982,0.4980673549430477
3.3624063,0.6090566,0.48623854,0.46440306,0.47507001454676306
3.4647522,0.61232704,0.38188073,0.4434088,0.4103512138031767
3.5192304,0.63245285,0.29816514,0.43189368,0.3527815609249638
3.9647028,0.5914465,0.3853211,0.3792325,0.38225255954883663
3.656561,0.62515724,0.5034404,0.43943945,0.46926779536827
3.068636,0.66515726,0.4793578,0.5186104,0.49821217612482993
3.029601,0.66415095,0.48394495,0.5203453,0.5014854500752235
3.10212,0.6669182,0.4793578,0.5110024,0.4946745359428054
3.189232,0.641761,0.4988532,0.49714285,0.4979965604560724
3.0242379,0.62591195,0.5034404,0.5158637,0.5095763699800886
2.8611538,0.62666667,0.5298165,0.5428907,0.5362739730259136
2.8616493,0.6392453,0.5,0.5463659,0.5221556597658072
2.807366,0.6533333,0.5034404,0.5473815,0.5244922294191072
2.9298198,0.634717,0.51720184,0.5274854,0.5222929622505983
2.9926536,0.60880506,0.51834863,0.51834863,0.5183486342430115
2.6014297,0.6327044,0.5344037,0.58322906,0.5577498700400879
2.5179367,0.63672954,0.58830273,0.5930636,0.5906735691671111
2.7561986,0.6588679,0.54587156,0.5586854,0.5522041328219249
2.4836457,0.6543396,0.5733945,0.6038647,0.5882352822993453
2.3313806,0.6530818,0.5974771,0.61803085,0.6075801543637686
2.4035068,0.63899374,0.57683486,0.6104369,0.5931603559059122
2.4127047,0.6410063,0.5538991,0.6098485,0.580528897150647
2.2432394,0.64955974,0.5894495,0.622276,0.6054181502105311
2.2369776,0.6500629,0.6284404,0.6291619,0.6288009600369223
2.095399,0.6410063,0.6353211,0.6548463,0.6449359792669151
1.9810867,0.6465409,0.63073397,0.6832298,0.6559332214648097
2.1130662,0.6467925,0.6272936,0.65824306,0.6423957669856442
2.0630374,0.6636478,0.6525229,0.65102977,0.6517755182177236
2.0690467,0.683522,0.6364679,0.6591449,0.6476078895469013
2.0318587,0.6737107,0.6284404,0.6682927,0.6477541229176438
2.0790658,0.66415095,0.6548165,0.6533181,0.6540664793420586
1.7724078,0.6550943,0.6869266,0.7022274,0.6944927730431716
1.922,0.6581132,0.70298165,0.66994536,0.6860660640990287
1.8243041,0.6900629,0.6961009,0.681257,0.6885989335068766
1.9030175,0.69484276,0.6353211,0.6925,0.6626794423946982
1.8475701,0.66314465,0.684633,0.6862069,0.6854190732368973
1.6647366,0.6732075,0.71330273,0.69809204,0.70561539439835
1.7169304,0.681761,0.7167431,0.70541763,0.7110352767052888
1.8600196,0.70691824,0.6227064,0.7192053,0.6674861456100347
1.7223326,0.71597487,0.71100914,0.7151096,0.7130534708600796
1.6613296,0.70742136,0.7488532,0.7044229,0.7259588457134699
1.5151367,0.69584906,0.73509175,0.7453488,0.740184716241045
1.6636183,0.7054088,0.7155963,0.7139588,0.7147765913722087
1.6722188,0.7225157,0.70642203,0.7238543,0.7150319046838661
1.5162774,0.73207545,0.7454128,0.7420091,0.7437070406823675
1.4221774,0.7295597,0.7511468,0.7589803,0.7550432164787699
1.61773,0.73157233,0.71100914,0.7380952,0.7242990730579113
1.5449324,0.7358491,0.76490825,0.7305586,0.7473389218012161
1.6207693,0.75194967,0.7178899,0.742586,0.7300291597242812
1.3575546,0.7607547,0.7396789,0.78467155,0.7615112622921475
1.3602518,0.7542138,0.7534404,0.7765958,0.7648428303947643
1.3711067,0.7554717,0.7603211,0.77093023,0.765588903335693
1.3386812,0.752956,0.77408254,0.7758621,0.7749712980114676
1.4896215,0.7610063,0.72477067,0.7669903,0.7452830370209232
1.3650498,0.75698113,0.76720184,0.77073735,0.7689655316094927
1.4129705,0.7572327,0.7591743,0.7635525,0.7613570929282683
1.4110074,0.7605032,0.76376146,0.7585421,0.7611428431547514
1.290439,0.78289306,0.7603211,0.8055893,0.7823009091456924
1.3366283,0.77685535,0.76834863,0.7781649,0.7732256249233195
1.2934574,0.77132076,0.771789,0.7880562,0.7798377816700898
1.2507114,0.7791195,0.79472476,0.7883959,0.791547701286035
1.2706857,0.78264153,0.76605505,0.79334915,0.779463263993101
1.2647723,0.7738365,0.7809633,0.78910774,0.7850144267485168
1.3162708,0.7745912,0.7844037,0.7746319,0.7794872055566082
1.1588926,0.7916981,0.78669727,0.8137604,0.8000000205159664
1.2290365,0.79471695,0.7844037,0.7990654,0.7916666383462851
1.3080839,0.7849057,0.77522933,0.77790564,0.7765652128504552
1.2558268,0.78867924,0.7924312,0.7879133,0.7901658211122544
1.1892025,0.8055346,0.79587156,0.8088578,0.8023121019250805
1.247964,0.7954717,0.78899086,0.79445726,0.7917145906097672
1.2923132,0.79044026,0.7855505,0.7855505,0.7855504751205444
1.2168741,0.791195,0.7821101,0.8080569,0.7948717759288665
1.1638849,0.8010063,0.7912844,0.81272084,0.8018593668756203
1.2479995,0.80150944,0.7912844,0.7912844,0.7912843823432922
1.2853123,0.8042767,0.7786697,0.7913753,0.7849710873863803
1.2463659,0.8163522,0.7786697,0.8092968,0.7936879288472212
1.2340446,0.8098113,0.7901376,0.8002323,0.7951528727786892
1.0100287,0.8155975,0.8394495,0.8224719,0.8308739723244828
1.2111043,0.8118239,0.79931194,0.8039216,0.8016101014418552
1.112717,0.8050314,0.80733943,0.8224299,0.8148147993208776
1.1683599,0.8155975,0.7832569,0.8248792,0.8035293869671948
1.1279244,0.8181132,0.771789,0.84125,0.8050239373278462
1.0587698,0.80855346,0.81995416,0.8256351,0.8227848103617919
1.2333148,0.80176103,0.8130734,0.78690344,0.7997744247063915
1.1390592,0.8110692,0.8142202,0.80773604,0.8109651536470763
1.0631407,0.82138366,0.8004587,0.83592814,0.8178090280246799
1.1677846,0.8176101,0.79931194,0.82,0.8095238108059203
1.0197523,0.8233962,0.82568806,0.8372093,0.831408762383238
1.1102715,0.8241509,0.8233945,0.8233945,0.8233944773674011
1.1795822,0.82792455,0.8027523,0.80738175,0.8050603475353751
1.0576228,0.8475472,0.81995416,0.8372365,0.828505223826551
1.1036258,0.83295596,0.80504584,0.8268551,0.8158047199669872
1.0066528,0.8359749,0.81880736,0.8439716,0.8311990708309527
1.2097963,0.8254088,0.8165138,0.789357,0.8027057983227006
1.0314139,0.83220124,0.8405963,0.8254505,0.8329545247850345
0.95681614,0.8485535,0.83027524,0.855792,0.8428405279989991
1.0166436,0.8299371,0.83142203,0.83621687,0.8338125558331199
